,manhattan,cosine,euclidean,author
"Huber,-Therese_Luise.txt",0.0,0.0,0.0,Huber
"Huber,-Therese_Ellen Percy.txt",1881.09,0.63,64.16,Huber
"Huber,-Therese_Die Familie Seldorf.txt",1957.52,0.66,66.51,Huber
"Gutzkow,-Karl_Die Ritter vom Geiste.txt",2087.92,0.97,68.19,Huber
"Goethe,-Johann-Wolfgang_Wilhelm Meisters Lehrjahre.txt",2097.59,0.81,68.97,Huber
"Gutzkow,-Karl_Der Zauberer von Rom.txt",2131.57,0.94,69.79,Huber
"Schopenhauer,-Johanna_Die Tante.txt",2143.86,0.83,69.77,Huber
"Arnim,-Ludwig-Achim-von_Armut Reichtum Schuld und Busse der Graefin Dolores.txt",2176.27,0.89,70.5,Huber
"Lewald,-Fanny_Jenny.txt",2182.54,0.83,71.1,Huber
"Schopenhauer,-Johanna_Gabriele.txt",2211.62,0.84,71.8,Huber
"Lewald,-Fanny_Eine Lebensfrage.txt",2246.36,0.88,73.25,Huber
"Wieland,-Christoph-Martin_Geschichte des Agathon.txt",2257.62,0.79,77.11,Huber
"Hahn-Hahn,-Ida-Graefin-von_Sibylle.txt",2262.02,0.94,73.05,Huber
"Schopenhauer,-Johanna_Richard Wood.txt",2264.53,0.91,73.35,Huber
"Goethe,-Johann-Wolfgang_Die Wahlverwandtschaften.txt",2270.68,0.89,74.5,Huber
"Keller,-Gottfried_Der gruene Heinrich [Erste Fassung].txt",2274.41,1.02,73.46,Huber
"Wieland,-Christoph-Martin_Aristipp und einige seiner Zeitgenossen.txt",2277.16,0.9,76.36,Huber
"Spielhagen,-Friedrich_Problematische Naturen - Erste Abtheilung.txt",2280.1,1.06,73.24,Huber
"Keller,-Gottfried_Das Sinngedicht.txt",2286.36,1.0,72.72,Huber
"Francois,-Louise-von_Stufenjahre eines Gluecklichen.txt",2321.37,1.01,74.52,Huber
"Tieck,-Ludwig_Vittoria Accorombona.txt",2322.13,0.98,74.85,Huber
"Wieland,-Christoph-Martin_Die Abenteuer des Don Sylvio von Rosalva.txt",2322.87,0.91,76.79,Huber
"Spielhagen,-Friedrich_Hammer und Ambo+í.txt",2325.99,1.11,74.12,Huber
"Hahn-Hahn,-Ida-Graefin-von_Maria Regina.txt",2333.25,1.01,75.27,Huber
"Fouque,-Caroline-de-la-Motte_Resignation.txt",2338.59,1.03,75.08,Huber
"Ebner-Eschenbach,-Marie-von_Unsuehnbar.txt",2348.43,0.97,74.36,Huber
"Wassermann,-Jakob_Christian Wahnschaffe.txt",2349.47,1.09,74.54,Huber
