,manhattan,cosine,euclidean,author
"Lewald,-Fanny_Clementine.txt",0.0,0.0,0.0,Lewald
"Lewald,-Fanny_Jenny.txt",1574.36,0.56,53.53,Lewald
"Lewald,-Fanny_Eine Lebensfrage.txt",1603.02,0.56,53.62,Lewald
"Hahn-Hahn,-Ida-Graefin-von_Graefin Faustine.txt",1945.98,0.83,62.1,Lewald
"Hahn-Hahn,-Ida-Graefin-von_Sibylle.txt",1951.39,0.84,62.72,Lewald
"Gutzkow,-Karl_Die Ritter vom Geiste.txt",1956.06,1.03,62.0,Lewald
"Spielhagen,-Friedrich_Problematische Naturen - Erste Abtheilung.txt",1986.37,0.98,63.64,Lewald
"Schopenhauer,-Johanna_Die Tante.txt",2033.74,0.85,63.92,Lewald
"Fouque,-Caroline-de-la-Motte_Resignation.txt",2040.98,0.91,64.12,Lewald
"Hahn-Hahn,-Ida-Graefin-von_Maria Regina.txt",2052.7,0.95,66.28,Lewald
"Spielhagen,-Friedrich_Hammer und Ambo+í.txt",2073.68,1.08,65.69,Lewald
"Schopenhauer,-Johanna_Gabriele.txt",2075.18,0.85,65.94,Lewald
"Gutzkow,-Karl_Der Zauberer von Rom.txt",2089.84,1.09,66.38,Lewald
"Schopenhauer,-Johanna_Richard Wood.txt",2096.41,0.92,66.82,Lewald
"Dohm,-Hedwig_Sibilla Dalmar.txt",2096.59,0.98,66.63,Lewald
"Tieck,-Ludwig_Geschichte des Herrn William Lovell.txt",2119.61,0.87,67.16,Lewald
"Arnim,-Ludwig-Achim-von_Armut Reichtum Schuld und Busse der Graefin Dolores.txt",2128.38,0.98,66.63,Lewald
"Freytag,-Gustav_Die verlorene Handschrift.txt",2159.64,1.0,67.53,Lewald
"Goethe,-Johann-Wolfgang_Wilhelm Meisters Lehrjahre.txt",2160.23,0.99,68.19,Lewald
"Francois,-Louise-von_Stufenjahre eines Gluecklichen.txt",2168.21,1.04,68.17,Lewald
"Goethe,-Johann-Wolfgang_Die Wahlverwandtschaften.txt",2170.28,0.93,69.34,Lewald
"Tieck,-Ludwig_Vittoria Accorombona.txt",2177.71,1.01,68.7,Lewald
"Dohm,-Hedwig_Christa Ruland.txt",2185.15,1.04,69.75,Lewald
"Francois,-Louise-von_Die letzte Reckenburgerin.txt",2197.2,1.0,68.64,Lewald
"Huber,-Therese_Ellen Percy.txt",2207.67,0.92,70.45,Lewald
"Dohm,-Hedwig_Schicksale einer Seele.txt",2207.82,1.04,69.71,Lewald
"Fouque,-Caroline-de-la-Motte_Die Frau des Falkensteins.txt",2230.94,0.92,70.33,Lewald
"Ebner-Eschenbach,-Marie-von_Unsuehnbar.txt",2232.6,1.01,68.72,Lewald
"Keller,-Gottfried_Der gruene Heinrich [Erste Fassung].txt",2243.69,1.12,69.15,Lewald
"Tieck,-Ludwig_Franz Sternbalds Wanderungen.txt",2243.75,0.98,72.55,Lewald
"Spielhagen,-Friedrich_Zum Zeitvertreib.txt",2243.75,1.01,70.9,Lewald
"Wassermann,-Jakob_Christian Wahnschaffe.txt",2244.84,1.18,69.65,Lewald
"Keller,-Gottfried_Das Sinngedicht.txt",2258.33,1.13,69.28,Lewald
"Keller,-Gottfried_Martin Salander.txt",2271.82,1.1,71.33,Lewald
"Gutzkow,-Karl_Wally die Zweiflerin.txt",2272.96,1.0,72.91,Lewald
"Wieland,-Christoph-Martin_Aristipp und einige seiner Zeitgenossen.txt",2275.47,0.95,72.1,Lewald
"Hauff,-Wilhelm_Mitteilungen aus den Memoiren des Satan.txt",2279.37,1.12,71.17,Lewald
"Hauff,-Wilhelm_Die Bettlerin vom Pont des Arts.txt",2280.4,0.92,72.6,Lewald
"Ebner-Eschenbach,-Marie-von_Bozena.txt",2282.65,1.06,70.84,Lewald
"Goethe,-Johann-Wolfgang_Die Leiden des jungen Werther.txt",2289.26,0.98,72.64,Lewald
"Huber,-Therese_Die Familie Seldorf.txt",2289.94,0.96,72.9,Lewald
Jean-Paul_Titan.txt,2292.55,1.05,71.42,Lewald
"Freytag,-Gustav_Soll und Haben.txt",2293.99,1.12,71.23,Lewald
"Fischer,-Caroline-Auguste_Margarethe.txt",2305.68,0.9,75.25,Lewald
"Marlitt,-Eugenie_Goldelse.txt",2310.84,1.1,72.73,Lewald
"Fontane,-Theodor_Effi Briest.txt",2314.4,1.03,72.92,Lewald
Jean-Paul_Hesperus oder 45 Hundsposttage.txt,2314.93,1.08,72.46,Lewald
"Arnim,-Ludwig-Achim-von_Kronenwaechter 1.txt",2320.79,1.08,72.61,Lewald
"Fischer,-Caroline-Auguste_Die Honigmonathe.txt",2321.18,0.86,74.73,Lewald
"Wassermann,-Jakob_Das Gaensemaennchen.txt",2323.27,1.16,72.35,Lewald
"DE_1886_Fontane,Theodor_Cecile_Novel.txt",2345.12,1.06,74.06,Lewald
"Kafka,-Franz_Das Schloss.txt",2370.42,1.05,75.62,Lewald
Jean-Paul_Flegeljahre.txt,2372.69,1.14,73.78,Lewald
"Fontane,-Theodor_Der Stechlin.txt",2376.24,1.1,74.83,Lewald
"Hauff,-Wilhelm_Lichtenstein.txt",2390.86,1.11,74.62,Lewald
"Marlitt,-Eugenie_Das Geheimnis der alten Mamsell.txt",2391.13,1.09,74.77,Lewald
"Arnim,-Ludwig-Achim-von_Isabella von Aegypten.txt",2396.72,1.06,74.72,Lewald
"Marlitt,-Eugenie_Die Frau mit den Karfunkelsteinen.txt",2415.82,1.13,75.49,Lewald
"Wieland,-Christoph-Martin_Die Abenteuer des Don Sylvio von Rosalva.txt",2425.66,1.07,76.45,Lewald
"May,-Karl_Im Reiche des silbernen Loewen I.txt",2430.96,1.04,75.0,Lewald
"Ebner-Eschenbach,-Marie-von_Das Gemeindekind.txt",2450.27,1.14,76.47,Lewald
"Fontane,-Theodor_Irrungen Wirrungen.txt",2455.99,1.08,77.54,Lewald
"Raabe,-Wilhelm_Stopfkuchen Eine See- und Mordgeschichte.txt",2459.54,1.1,77.81,Lewald
"Fouque,-Caroline-de-la-Motte_Magie der Natur.txt",2474.81,1.02,78.34,Lewald
"Kafka,-Franz_Amerika.txt",2478.44,1.14,77.73,Lewald
"May,-Karl_Kurdistan.txt",2487.91,1.07,77.67,Lewald
UNBEKANNT.txt,2488.78,1.19,78.5,Lewald
"Fischer,-Caroline-Auguste_Gustavs Verirrungen.txt",2489.59,0.95,80.17,Lewald
"Freytag,-Gustav_Die Ahnen.txt",2489.81,1.1,76.4,Lewald
"Wieland,-Christoph-Martin_Geschichte des Agathon.txt",2492.63,1.0,80.7,Lewald
"Huber,-Therese_Luise.txt",2507.16,0.91,81.16,Lewald
"Raabe,-Wilhelm_Im alten Eisen.txt",2523.92,1.12,78.7,Lewald
"Francois,-Louise-von_Judith die Kluswirtin.txt",2532.73,1.09,79.65,Lewald
"Kafka,-Franz_Der Prozess.txt",2542.8,1.13,79.99,Lewald
"Wassermann,-Jakob_Die Juden von Zirndorf.txt",2568.38,1.19,79.6,Lewald
"May,-Karl_Old Surehand I.txt",2625.81,1.1,83.46,Lewald
"Raabe,-Wilhelm_Das Odfeld.txt",2649.08,1.19,83.45,Lewald
