,manhattan,cosine,euclidean,author
UNBEKANNT.txt,0.0,0.0,0.0,UNBEKANNT.txt
"Marlitt,-Eugenie_Die Frau mit den Karfunkelsteinen.txt",1200.0,0.42,41.29,UNBEKANNT.txt
"Marlitt,-Eugenie_Das Geheimnis der alten Mamsell.txt",1256.76,0.45,43.0,UNBEKANNT.txt
"Marlitt,-Eugenie_Goldelse.txt",1355.74,0.56,46.25,UNBEKANNT.txt
"Spielhagen,-Friedrich_Hammer und Ambo+í.txt",1579.2,0.82,50.13,UNBEKANNT.txt
"Wassermann,-Jakob_Christian Wahnschaffe.txt",1614.08,0.84,51.85,UNBEKANNT.txt
"Wassermann,-Jakob_Das Gaensemaennchen.txt",1642.05,0.8,53.23,UNBEKANNT.txt
"Spielhagen,-Friedrich_Problematische Naturen - Erste Abtheilung.txt",1673.66,0.93,53.57,UNBEKANNT.txt
"Gutzkow,-Karl_Die Ritter vom Geiste.txt",1708.25,1.07,53.74,UNBEKANNT.txt
"Gutzkow,-Karl_Der Zauberer von Rom.txt",1760.17,1.04,56.32,UNBEKANNT.txt
"Freytag,-Gustav_Soll und Haben.txt",1763.88,0.89,56.13,UNBEKANNT.txt
"Freytag,-Gustav_Die verlorene Handschrift.txt",1777.34,0.89,56.09,UNBEKANNT.txt
"Ebner-Eschenbach,-Marie-von_Bozena.txt",1782.27,0.87,56.65,UNBEKANNT.txt
"Wassermann,-Jakob_Die Juden von Zirndorf.txt",1796.76,0.79,58.09,UNBEKANNT.txt
"Dohm,-Hedwig_Christa Ruland.txt",1804.4,0.92,58.11,UNBEKANNT.txt
"Ebner-Eschenbach,-Marie-von_Das Gemeindekind.txt",1805.8,0.86,59.25,UNBEKANNT.txt
"Dohm,-Hedwig_Sibilla Dalmar.txt",1812.98,0.97,58.1,UNBEKANNT.txt
"Dohm,-Hedwig_Schicksale einer Seele.txt",1818.43,0.91,57.7,UNBEKANNT.txt
"Francois,-Louise-von_Stufenjahre eines Gluecklichen.txt",1824.31,0.98,58.16,UNBEKANNT.txt
"Ebner-Eschenbach,-Marie-von_Unsuehnbar.txt",1831.4,0.9,57.44,UNBEKANNT.txt
"Keller,-Gottfried_Das Sinngedicht.txt",1832.96,0.98,56.73,UNBEKANNT.txt
"Francois,-Louise-von_Die letzte Reckenburgerin.txt",1840.01,0.93,58.51,UNBEKANNT.txt
"Keller,-Gottfried_Der gruene Heinrich [Erste Fassung].txt",1858.54,1.03,58.27,UNBEKANNT.txt
"Spielhagen,-Friedrich_Zum Zeitvertreib.txt",1900.18,0.93,60.66,UNBEKANNT.txt
"Keller,-Gottfried_Martin Salander.txt",1910.76,1.05,61.58,UNBEKANNT.txt
"Hauff,-Wilhelm_Lichtenstein.txt",1915.26,0.98,62.54,UNBEKANNT.txt
"Hauff,-Wilhelm_Mitteilungen aus den Memoiren des Satan.txt",1935.21,1.04,60.75,UNBEKANNT.txt
"Fouque,-Caroline-de-la-Motte_Resignation.txt",1949.01,1.06,60.31,UNBEKANNT.txt
"Freytag,-Gustav_Die Ahnen.txt",1950.53,0.92,62.75,UNBEKANNT.txt
"Kafka,-Franz_Amerika.txt",1968.1,0.93,63.05,UNBEKANNT.txt
Jean-Paul_Titan.txt,1969.43,0.99,61.5,UNBEKANNT.txt
Jean-Paul_Flegeljahre.txt,1970.42,1.01,61.68,UNBEKANNT.txt
"Hahn-Hahn,-Ida-Graefin-von_Maria Regina.txt",1972.34,1.14,64.0,UNBEKANNT.txt
"Hahn-Hahn,-Ida-Graefin-von_Graefin Faustine.txt",1977.26,1.06,61.32,UNBEKANNT.txt
"Arnim,-Ludwig-Achim-von_Kronenwaechter 1.txt",2006.52,1.07,64.33,UNBEKANNT.txt
"Fontane,-Theodor_Effi Briest.txt",2009.95,1.01,64.5,UNBEKANNT.txt
