,fp,fn,percentage,delta,corpus,mfw
43,0.006126126126126126,0.007207207207207207,0.44,0.22640000000000005,Chinese,4000
44,0.006126126126126126,0.0046846846846846845,0.45,0.23700000000000004,Chinese,4000
41,0.006126126126126126,0.007927927927927928,0.42,0.2026,Chinese,5000
42,0.006126126126126126,0.005765765765765766,0.43,0.21290000000000003,Chinese,5000
58,0.005765765765765766,0.005765765765765766,0.59,0.3729000000000001,Chinese,500
58,0.005765765765765766,0.005765765765765766,0.59,0.3729000000000001,Chinese,500
39,0.006126126126126126,0.006846846846846847,0.4,0.18600000000000005,Chinese,7000
40,0.006486486486486486,0.006126126126126126,0.41,0.19590000000000002,Chinese,7000
39,0.006126126126126126,0.006486486486486486,0.4,0.17800000000000005,Chinese,8000
40,0.006486486486486486,0.006126126126126126,0.41,0.18769999999999998,Chinese,8000
49,0.005765765765765766,0.006486486486486486,0.5,0.2749999999999999,Chinese,2000
50,0.006126126126126126,0.004324324324324324,0.51,0.28669999999999995,Chinese,2000
38,0.006126126126126126,0.006486486486486486,0.39,0.17440000000000005,Chinese,9000
39,0.006486486486486486,0.005045045045045045,0.4,0.18400000000000005,Chinese,9000
55,0.005765765765765766,0.006486486486486486,0.56,0.3256,Chinese,1000
56,0.005765765765765766,0.003963963963963964,0.57,0.33819999999999995,Chinese,1000
71,0.0075675675675675675,0.0075675675675675675,0.72,0.5227999999999999,Chinese,50
71,0.0075675675675675675,0.0075675675675675675,0.72,0.5227999999999999,Chinese,50
85,0.014054054054054054,0.017657657657657658,0.86,0.6951999999999998,Chinese,10
86,0.015135135135135135,0.013693693693693694,0.87,0.7134,Chinese,10
37,0.006126126126126126,0.006486486486486486,0.38,0.16720000000000002,Chinese,10000
38,0.006486486486486486,0.005405405405405406,0.39,0.17660000000000003,Chinese,10000
45,0.005765765765765766,0.006126126126126126,0.46,0.24059999999999993,Chinese,3000
46,0.006126126126126126,0.0046846846846846845,0.47,0.2516999999999999,Chinese,3000
41,0.006126126126126126,0.006486486486486486,0.42,0.2042,Chinese,6000
42,0.006846846846846847,0.003963963963963964,0.43,0.21430000000000005,Chinese,6000
69,0.007207207207207207,0.008288288288288289,0.7,0.508,Chinese,100
70,0.007927927927927928,0.005405405405405406,0.71,0.5224,Chinese,100
