,fp,fn,percentage,delta,corpus,mfw
42,0.002882882882882883,0.005405405405405406,0.43,0.1785,English,5000
43,0.003963963963963964,0.0036036036036036037,0.44,0.188,English,5000
46,0.003243243243243243,0.003963963963963964,0.47,0.20939999999999998,English,3000
47,0.0046846846846846845,0.003963963963963964,0.48,0.21959999999999996,English,3000
44,0.003963963963963964,0.003963963963963964,0.45,0.19,English,4000
44,0.003963963963963964,0.003963963963963964,0.45,0.19,English,4000
48,0.002882882882882883,0.003963963963963964,0.49,0.22429999999999994,English,2000
49,0.004324324324324324,0.003243243243243243,0.5,0.235,English,2000
54,0.0046846846846846845,0.0046846846846846845,0.55,0.2725000000000001,English,1000
54,0.0046846846846846845,0.0046846846846846845,0.55,0.2725000000000001,English,1000
41,0.003963963963963964,0.004324324324324324,0.42,0.16799999999999998,English,7000
42,0.003963963963963964,0.0018018018018018018,0.43,0.177,English,7000
69,0.01009009009009009,0.01009009009009009,0.7,0.45799999999999974,English,50
69,0.01009009009009009,0.01009009009009009,0.7,0.45799999999999974,English,50
38,0.003243243243243243,0.005765765765765766,0.39,0.13760000000000006,English,10000
39,0.003963963963963964,0.003243243243243243,0.4,0.14600000000000007,English,10000
65,0.00972972972972973,0.013333333333333334,0.66,0.39660000000000006,English,100
66,0.010810810810810811,0.01009009009009009,0.67,0.4117000000000002,English,100
57,0.005045045045045045,0.005765765765765766,0.58,0.29500000000000004,English,500
58,0.005765765765765766,0.005045045045045045,0.59,0.3075,English,500
39,0.0036036036036036037,0.005405405405405406,0.4,0.14800000000000002,English,9000
40,0.003963963963963964,0.0025225225225225223,0.41,0.15669999999999995,English,9000
82,0.016576576576576577,0.018018018018018018,0.83,0.6437999999999999,English,10
83,0.016936936936936937,0.015135135135135135,0.84,0.6623999999999999,English,10
39,0.0036036036036036037,0.004324324324324324,0.4,0.15200000000000002,English,8000
40,0.003963963963963964,0.002162162162162162,0.41,0.1608,English,8000
41,0.002882882882882883,0.005405405405405406,0.42,0.1648,English,6000
42,0.003963963963963964,0.002882882882882883,0.43,0.17419999999999997,English,6000
