,fp,fn,percentage,delta,corpus,mfw
83,0.015135135135135135,0.016216216216216217,0.84,0.6472,French,10
84,0.015495495495495495,0.012972972972972972,0.85,0.6655,French,10
55,0.005045045045045045,0.005765765765765766,0.56,0.23119999999999996,French,2000
56,0.006126126126126126,0.004324324324324324,0.57,0.24139999999999984,French,2000
77,0.008288288288288289,0.00972972972972973,0.78,0.5602,French,50
78,0.009009009009009009,0.008648648648648649,0.79,0.5761000000000001,French,50
46,0.005765765765765766,0.008288288288288289,0.47,0.1648,French,5000
47,0.006126126126126126,0.005405405405405406,0.48,0.17319999999999997,French,5000
46,0.005765765765765766,0.008648648648648649,0.47,0.15600000000000003,French,6000
47,0.006126126126126126,0.005405405405405406,0.48,0.16400000000000003,French,6000
64,0.004324324324324324,0.00972972972972973,0.65,0.3385,French,500
65,0.005765765765765766,0.005045045045045045,0.66,0.35140000000000005,French,500
59,0.0046846846846846845,0.006126126126126126,0.6,0.28800000000000003,French,1000
60,0.005405405405405406,0.0046846846846846845,0.61,0.2993,French,1000
44,0.005765765765765766,0.00972972972972973,0.45,0.12950000000000006,French,9000
45,0.006126126126126126,0.005405405405405406,0.46,0.13660000000000005,French,9000
48,0.005405405405405406,0.006126126126126126,0.49,0.1861,French,4000
49,0.006486486486486486,0.005045045045045045,0.5,0.195,French,4000
74,0.006846846846846847,0.007207207207207207,0.75,0.52,French,100
75,0.00972972972972973,0.005765765765765766,0.76,0.5356000000000001,French,100
47,0.006486486486486486,0.006486486486486486,0.48,0.15480000000000005,French,7000
47,0.006486486486486486,0.006486486486486486,0.48,0.15480000000000005,French,7000
45,0.005765765765765766,0.0075675675675675675,0.46,0.13580000000000003,French,8000
46,0.006126126126126126,0.005405405405405406,0.47,0.1431,French,8000
45,0.006126126126126126,0.0075675675675675675,0.46,0.12740000000000007,French,10000
46,0.006486486486486486,0.005045045045045045,0.47,0.13430000000000003,French,10000
51,0.005765765765765766,0.006846846846846847,0.52,0.20879999999999999,French,3000
52,0.006486486486486486,0.005405405405405406,0.53,0.21819999999999995,French,3000
