,Unnamed: 0,fp,fn,percentage,delta,corpus,mfw
18,67,0.0033109619686800896,0.005458612975391499,0.68,0.3996000000000001,piperEN,1000
24,71,0.0034899328859060398,0.0038478747203579424,0.72,0.4659999999999999,piperEN,500
8,64,0.0034899328859060398,0.004205816554809843,0.65,0.3615,piperEN,2000
9,65,0.0035794183445190158,0.0034004474272930647,0.66,0.3726,piperEN,2000
14,63,0.0035794183445190158,0.004116331096196868,0.64,0.3356,piperEN,3000
25,72,0.0036689038031319904,0.0030425055928411638,0.73,0.4789999999999999,piperEN,500
15,64,0.0036689038031319904,0.003221476510067114,0.65,0.34600000000000003,piperEN,3000
19,68,0.0036689038031319904,0.0035794183445190158,0.69,0.4118,piperEN,1000
4,61,0.0036689038031319904,0.004116331096196868,0.62,0.3161999999999999,piperEN,4000
2,59,0.0036689038031319904,0.004295302013422818,0.6,0.29799999999999993,piperEN,5000
5,62,0.0037583892617449664,0.0034899328859060398,0.63,0.3262999999999999,piperEN,4000
6,57,0.0037583892617449664,0.0043847874720357935,0.58,0.2677999999999999,piperEN,7000
3,60,0.0038478747203579424,0.0034899328859060398,0.61,0.3078,piperEN,5000
12,58,0.0038478747203579424,0.003937360178970917,0.59,0.2846,piperEN,6000
10,54,0.0038478747203579424,0.004205816554809843,0.55,0.23200000000000004,piperEN,10000
20,55,0.0038478747203579424,0.004295302013422818,0.56,0.24160000000000004,piperEN,9000
26,56,0.0038478747203579424,0.004295302013422818,0.57,0.25159999999999993,piperEN,8000
16,78,0.0038478747203579424,0.005369127516778522,0.79,0.5961000000000001,piperEN,100
27,57,0.003937360178970917,0.0030425055928411638,0.58,0.2604,piperEN,8000
7,58,0.003937360178970917,0.0037583892617449664,0.59,0.27690000000000003,piperEN,7000
22,81,0.003937360178970917,0.0045637583892617455,0.82,0.6394,piperEN,50
13,59,0.004026845637583893,0.002774049217002237,0.6,0.29399999999999993,piperEN,6000
11,55,0.004026845637583893,0.003221476510067114,0.56,0.2404000000000001,piperEN,10000
21,56,0.004026845637583893,0.003221476510067114,0.57,0.2502,piperEN,9000
17,79,0.004026845637583893,0.0034004474272930647,0.8,0.6120000000000001,piperEN,100
23,82,0.004295302013422818,0.0035794183445190158,0.83,0.6560999999999999,piperEN,50
0,91,0.005458612975391499,0.006800894854586129,0.92,0.8064,piperEN,10
1,92,0.005906040268456376,0.004742729306487696,0.93,0.8256000000000001,piperEN,10
