,fp,fn,percentage,delta,corpus,mfw
59,0.0025950782997762865,0.0026845637583892616,0.6,0.346,piperDE,1000
60,0.002774049217002237,0.002147651006711409,0.61,0.35760000000000003,piperDE,1000
76,0.0037583892617449664,0.005458612975391499,0.77,0.5550999999999999,piperDE,50
77,0.003937360178970917,0.003847874720357942,0.78,0.5713999999999999,piperDE,50
64,0.0024161073825503354,0.002953020134228188,0.65,0.3955000000000001,piperDE,500
65,0.0026845637583892616,0.0025950782997762865,0.66,0.4082000000000001,piperDE,500
50,0.002774049217002237,0.004026845637583893,0.51,0.23409999999999997,piperDE,5000
51,0.002953020134228188,0.0028635346756152127,0.52,0.24319999999999997,piperDE,5000
52,0.002774049217002237,0.003221476510067114,0.53,0.28,piperDE,3000
53,0.003221476510067114,0.0028635346756152127,0.54,0.29000000000000004,piperDE,3000
74,0.00348993288590604,0.00348993288590604,0.75,0.5375000000000001,piperDE,100
74,0.00348993288590604,0.00348993288590604,0.75,0.5375000000000001,piperDE,100
56,0.002953020134228188,0.002953020134228188,0.57,0.3084999999999999,piperDE,2000
56,0.002953020134228188,0.002953020134228188,0.57,0.3084999999999999,piperDE,2000
48,0.0028635346756152127,0.0037583892617449664,0.49,0.2116,piperDE,7000
49,0.003221476510067114,0.0025950782997762865,0.5,0.22000000000000003,piperDE,7000
91,0.006800894854586129,0.007874720357941834,0.92,0.8196000000000001,piperDE,10
92,0.007337807606263982,0.005548098434004474,0.93,0.8384,piperDE,10
49,0.0026845637583892616,0.003668903803131991,0.5,0.22499999999999998,piperDE,6000
50,0.0030425055928411633,0.0028635346756152127,0.51,0.23369999999999996,piperDE,6000
51,0.0026845637583892616,0.0034004474272930647,0.52,0.25880000000000003,piperDE,4000
52,0.003131991051454139,0.0028635346756152127,0.53,0.2682,piperDE,4000
47,0.002953020134228188,0.002953020134228188,0.48,0.1996,piperDE,10000
46,0.002953020134228188,0.002953020134228188,0.47,0.19190000000000002,piperDE,10000
48,0.002953020134228188,0.0037583892617449664,0.49,0.20690000000000003,piperDE,8000
49,0.0030425055928411633,0.002505592841163311,0.5,0.21500000000000002,piperDE,8000
46,0.0028635346756152127,0.003668903803131991,0.47,0.196,piperDE,9000
47,0.002953020134228188,0.002505592841163311,0.48,0.20400000000000001,piperDE,9000
