,fp,fn,percentage,delta,corpus,mfw
91,0.005458612975391499,0.006800894854586129,0.92,0.8064,piperEN,10
92,0.005906040268456376,0.004742729306487696,0.93,0.8256000000000001,piperEN,10
59,0.003668903803131991,0.004295302013422818,0.6,0.29799999999999993,piperEN,5000
60,0.003847874720357942,0.00348993288590604,0.61,0.30779999999999996,piperEN,5000
61,0.003668903803131991,0.004116331096196868,0.62,0.3161999999999999,piperEN,4000
62,0.0037583892617449664,0.00348993288590604,0.63,0.3262999999999999,piperEN,4000
57,0.0037583892617449664,0.004384787472035794,0.58,0.2677999999999999,piperEN,7000
58,0.003937360178970917,0.0037583892617449664,0.59,0.27690000000000003,piperEN,7000
64,0.00348993288590604,0.004205816554809843,0.65,0.36150000000000004,piperEN,2000
65,0.0035794183445190158,0.0034004474272930647,0.66,0.37260000000000004,piperEN,2000
54,0.003847874720357942,0.004205816554809843,0.55,0.23200000000000004,piperEN,10000
55,0.004026845637583893,0.003221476510067114,0.56,0.24040000000000006,piperEN,10000
58,0.003847874720357942,0.003937360178970917,0.59,0.28459999999999996,piperEN,6000
59,0.004026845637583893,0.002774049217002237,0.6,0.29399999999999993,piperEN,6000
63,0.0035794183445190158,0.004116331096196868,0.64,0.3356,piperEN,3000
64,0.003668903803131991,0.003221476510067114,0.65,0.346,piperEN,3000
78,0.003847874720357942,0.005369127516778523,0.79,0.5961000000000001,piperEN,100
79,0.004026845637583893,0.0034004474272930647,0.8,0.6120000000000001,piperEN,100
67,0.0033109619686800896,0.005458612975391499,0.68,0.39960000000000007,piperEN,1000
68,0.003668903803131991,0.0035794183445190158,0.69,0.41179999999999994,piperEN,1000
55,0.003847874720357942,0.004295302013422818,0.56,0.24160000000000004,piperEN,9000
56,0.004026845637583893,0.003221476510067114,0.57,0.2502,piperEN,9000
81,0.003937360178970917,0.004563758389261745,0.82,0.6394,piperEN,50
82,0.004295302013422818,0.0035794183445190158,0.83,0.6560999999999999,piperEN,50
71,0.00348993288590604,0.003847874720357942,0.72,0.46599999999999986,piperEN,500
72,0.003668903803131991,0.0030425055928411633,0.73,0.47899999999999987,piperEN,500
56,0.003847874720357942,0.004295302013422818,0.57,0.25159999999999993,piperEN,8000
57,0.003937360178970917,0.0030425055928411633,0.58,0.26039999999999996,piperEN,8000
