,fp,fn,percentage,delta,corpus,mfw
57,0.005562913907284768,0.005916114790286976,0.58,0.32699999999999996,piperFR,3000
58,0.005739514348785872,0.0053863134657836645,0.59,0.3384999999999999,piperFR,3000
51,0.006004415011037528,0.006004415011037528,0.52,0.25960000000000005,piperFR,8000
51,0.006004415011037528,0.006004415011037528,0.52,0.25960000000000005,piperFR,8000
78,0.0053863134657836645,0.007417218543046358,0.79,0.5771999999999999,piperFR,100
79,0.00565121412803532,0.005209713024282561,0.8,0.5940000000000001,piperFR,100
50,0.0060927152317880795,0.006445916114790287,0.51,0.2445,piperFR,9000
51,0.006357615894039735,0.005298013245033113,0.52,0.254,piperFR,9000
53,0.005474613686534216,0.006534216335540839,0.54,0.2816000000000001,piperFR,5000
54,0.005739514348785872,0.005474613686534216,0.55,0.29200000000000004,piperFR,5000
50,0.0060927152317880795,0.006445916114790287,0.51,0.2394,piperFR,10000
51,0.006269315673289183,0.005827814569536424,0.52,0.24880000000000002,piperFR,10000
54,0.005033112582781457,0.006975717439293598,0.55,0.2995000000000001,piperFR,4000
55,0.0060927152317880795,0.005209713024282561,0.56,0.3104,piperFR,4000
64,0.005033112582781457,0.006269315673289183,0.65,0.3979999999999999,piperFR,1000
65,0.005562913907284768,0.004856512141280353,0.66,0.4112,piperFR,1000
83,0.006975717439293598,0.007152317880794702,0.84,0.6567999999999998,piperFR,50
84,0.007417218543046358,0.00565121412803532,0.85,0.6744999999999999,piperFR,50
68,0.004591611479028698,0.005827814569536424,0.69,0.4367,piperFR,500
69,0.005298013245033113,0.004503311258278146,0.7,0.45100000000000007,piperFR,500
52,0.005739514348785872,0.006357615894039735,0.53,0.27060000000000006,piperFR,6000
53,0.006269315673289183,0.005298013245033113,0.54,0.28080000000000005,piperFR,6000
60,0.005562913907284768,0.0060927152317880795,0.61,0.35419999999999996,piperFR,2000
61,0.006004415011037528,0.0053863134657836645,0.62,0.36639999999999995,piperFR,2000
89,0.008741721854304637,0.010242825607064018,0.9,0.762,piperFR,10
90,0.008741721854304637,0.008211920529801325,0.91,0.7807999999999999,piperFR,10
52,0.005916114790286976,0.005916114790286976,0.53,0.27,piperFR,7000
52,0.005916114790286976,0.005916114790286976,0.53,0.27,piperFR,7000
